ID,nome,regime_tipo,dt_documento
1,Presídio Alfredo Tranjan - SEAPAT  ,Fechado,04/02/2019
2,Penitenciária Dr. Serrano Neves - SEAPSN ,Fechado,04/02/2019
3,Penitenciária Industrial Esmeraldino Bandeira - SEAPEB ,Fechado,04/02/2019
4,Presídio Elizabeth Sá Rego - SEAPSR,Fechado,04/02/2019
5,Presídio Milton Dias Moreira -SEAPMM,Fechado,04/02/2019
6,Presídio  Pedrolino Werling de Oliveira - SEAPPO ,Fechado,04/02/2019
7,Presídio Romeiro Neto - SEAPRN,Fechado,04/02/2019
8,Presídio Hélio Gomes-SEAPHG,Fechado,04/02/2019
9,Cadeia Pública Pedro Melo da Silva - SEAPPM,Fechado,04/02/2019
10,Presídio José Frederico Marques - SEAPFM,Fechado,04/02/2019
11,Presídio João Carlos da Silva - SEAPJCS,Provisório,04/02/2019
12,Cadeia Pública Paulo Roberto Rocha - SEAPPR,Provisório,04/02/2019
13,Cadeia Pública Contrin Neto - SEAPCN,Provisório,04/02/2019
14,Cadeia Pública Franz de Castro Holzwarth  – SEAPFC,Provisório,04/02/2019
15,Cadeia Pública Jorge Santana – SEAPJS,Provisório,04/02/2019
16,Cadeia Pública Juíza de Direito Patrícia Acioli  - SEAPJP,Provisório,04/02/2019
17,Presídio ISAP Tiago Teles de Castro Domingues - SEAPTD,Provisório,04/02/2019
18,Cadeia Pública Constantino Cokotós - SEAPCK,Provisório,04/02/2019
19,Cadeia Pública Inspetor José Antonio da Costa Barros - SEAPJB,Provisório,04/02/2019
20,Presídio Ary Franco - SEAPAF ,Provisório,04/02/2019
21,Colônia Ag.Marco Aurélio Vergas Tavares de Mattos - SEAPAM ,Semiaberto,04/02/2019
22,Instituto Penal Cândido Mendes -  SEAPCM,Semiaberto,04/02/2019
23,Instituto Penal Edgard Costa - SEAPEC ,Semiaberto,04/02/2019
24,Instituto Penal Ismael Pereira Sirieiro - SEAPIS,Semiaberto,04/02/2019
25,Instituto Penal Plácido Sá Carvalho - SEAPPC,Semiaberto,04/02/2019
26,Instituto Penal Cel. PM Francisco Spargoli Rocha - SEAPFS,Semiaberto,04/02/2019
27,Instituto Penal Benjamin de Moraes Filho - SEAPBM,Semiaberto,04/02/2019
28,Instituto Penal Vicente Piragibe - SEAPVP ,Semiaberto,04/02/2019
29,Penitenciária Muniz Sodré - SEAPMS,Semiaberto,04/02/2019
30,Presídio Evaristo de Moraes - SEAPEM ,Fechado,04/02/2019
30,Presídio Evaristo de Moraes - SEAPEM ,Provisório,04/02/2019
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Fechado,04/02/2019
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Provisório,04/02/2019
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Semiaberto,04/02/2019
31,Presídio Diomedes Vinhosa Muniz - SEAPVM,Aberto,04/02/2019
32,Presídio Dalton Crespo de Castro - SEAPDC,Fechado,04/02/2019
32,Presídio Dalton Crespo de Castro - SEAPDC,Provisório,04/02/2019
32,Presídio Dalton Crespo de Castro - SEAPDC,Semiaberto,04/02/2019
32,Presídio Dalton Crespo de Castro - SEAPDC,Aberto,04/02/2019
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Fechado,04/02/2019
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Provisório,04/02/2019
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Semiaberto,04/02/2019
33,Presídio  Carlos Tinoco da Fonseca - SEAPCF ,Aberto,04/02/2019
34,Penitenciária Laércio da Costa Pelegrino - SEAPLP ,Fechado,04/02/2019
34,Penitenciária Laércio da Costa Pelegrino - SEAPLP ,Provisório,04/02/2019
35,Presídio Gabriel Ferreira Castilho - SEAPGC ,Fechado,04/02/2019
35,Presídio Gabriel Ferreira Castilho - SEAPGC ,Provisório,04/02/2019
36,Presídio  Jonas Lopes de Carvalho - SEAPJL  ,Fechado,04/02/2019
36,Presídio  Jonas Lopes de Carvalho - SEAPJL  ,Provisório,04/02/2019
37,Penitenciária Inspetor Luis Fernandes Bandeira Duarte - SEAPBD,Fechado,04/02/2019
37,Penitenciária Inspetor Luis Fernandes Bandeira Duarte - SEAPBD,Semiaberto,04/02/2019
38,Presídio  Lemos de Brito - SEAPLB ,Fechado,04/02/2019
38,Presídio  Lemos de Brito - SEAPLB ,Provisório,04/02/2019
39,Penitenciária Bandeira Stampa - SEAPBS,Fechado,04/02/2019
39,Penitenciária Bandeira Stampa - SEAPBS,Provisório,04/02/2019
39,Penitenciária Bandeira Stampa - SEAPBS,Semiaberto,04/02/2019
40,Penitenciária Talavera Bruce - SEAPTB  ,Fechado,04/02/2019
41,Unidade Materno Infantil - UMI,Fechado,04/02/2019
41,Unidade Materno Infantil - UMI,Semiaberto,04/02/2019
41,Unidade Materno Infantil - UMI,Aberto,04/02/2019
41,Unidade Materno Infantil - UMI,Provisório,04/02/2019
42,Instituto Penal Oscar Stevenson  -  SEAPOS,Semiaberto,04/02/2019
42,Instituto Penal Oscar Stevenson  -  SEAPOS,Aberto,04/02/2019
43,Cadeia Pública Joaquim Ferreira de Souza - SEAPJFS ,Provisório Comum,04/02/2019
43,Cadeia Pública Joaquim Ferreira de Souza - SEAPJFS ,Provisório Federal,04/02/2019
44,Presídio Nelson Hungria - SEAPNH,Fechado,04/02/2019
44,Presídio Nelson Hungria - SEAPNH,Provisório,04/02/2019
45,Presídio Nilza da Silva Santos - SEAPNS,Fechado,04/02/2019
45,Presídio Nilza da Silva Santos - SEAPNS,Provisório,04/02/2019
45,Presídio Nilza da Silva Santos - SEAPNS,Semiaberto,04/02/2019
45,Presídio Nilza da Silva Santos - SEAPNS,Aberto,04/02/2019
46,Casa do Albergardo Crispim Ventino - SEAPAC -MASCULINO,Aberto,04/02/2019
47,Hospital Dr. Hamilton Agostinho V. de Castro - SEAPHA ,Fechado,04/02/2019
48,Hospital de Custódia e Trat. Psiquiátrico Henrique Roxo - SEAPHR ,Medida de Segurança,04/02/2019
49,Hospital Penal Psiquiátrico Roberto Medeiros - SEAPRM ,Medida de Segurança,04/02/2019
50,Sanatório Penal - SEAPSP - FEM,Fechado,04/02/2019
51,Sanatório Penal - SEAPSP ,Fechado,04/02/2019
